GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
16220.667,228.59,8.2,134159.0,173874.0,16066240.0,18.93,2.2482166173176665e-07,0.0087836375460028,0.652044415473938,2.266361661895644e-05,0.0022756671532988,0.336873322725296,-0.1,1
16226.824,229.918,8.1,134331.0,174911.0,16188403.333333334,17.47,2.506331497897918e-07,0.0089065134525299,0.8318979144096375,2.506331497897918e-07,0.0055427299812436,0.1536523997783661,0.1,0
16232.981,231.015,7.8,134518.0,175472.0,16310566.666666666,15.73,2.1057702781490661e-07,0.0066439742222428,0.866274356842041,0.0011361655779182,0.0017820578068494,0.1241632476449012,-0.1,-1
16239.138,231.638,7.8,134677.0,175241.0,16432730.0,18.6,1.3028452485741582e-06,0.0001978694926947,0.0021914611570537,0.9920151829719543,1.3028452485741582e-06,0.0055928723886609,-0.2,1
16287.08,231.249,7.7,134833.0,176252.0,16545613.666666666,15.87,2.585579466085619e-07,0.0147192347794771,0.9095115661621094,0.0002184475015383,0.0048958589322865,0.0706546306610107,0.0,-1
16335.022,231.221,7.9,135072.0,176798.0,16658497.333333334,18.02,2.420964335669851e-07,0.0123743992298841,0.9097881317138672,0.0005779959028586,0.0031447359360754,0.0741144940257072,-0.1,-1
16382.964,231.679,8.0,135263.0,177935.0,16771381.0,14.28,9.95524828795169e-07,0.0005736967432312,0.0101799489930272,0.9870026707649232,9.95524828795169e-07,0.0022416778374463,0.2,1
16389.702666666668,232.937,7.7,135541.0,179126.0,16760360.666666666,15.51,1.7789358253139653e-07,0.0447265580296516,0.725616991519928,0.0666447058320045,0.0116646625101566,0.1513468772172927,-0.1,0
16396.441333333332,232.282,7.5,135680.0,178325.0,16749340.333333334,12.7,1.0994745025527664e-06,0.0005118389963172,0.001877024420537,0.990721881389618,1.0994745025527664e-06,0.0068870284594595,-0.1,-1
16403.18,231.797,7.6,135871.0,177857.0,16738320.0,13.52,2.3310219887662242e-07,0.0290645100176334,0.8804948925971985,0.0264380946755409,0.0066790576092898,0.0573232695460319,0.3,1
16446.015,231.893,7.5,136093.0,178590.0,16738273.333333334,16.3,2.6161498567489616e-07,0.0206393115222454,0.924351155757904,0.0027310913428664,0.0044052144512534,0.0478730015456676,0.0,-1
16488.850000000002,232.445,7.5,136274.0,178813.0,16738226.666666666,16.86,1.3520227639673976e-06,1.3520227639673976e-06,1.3520227639673976e-06,0.9999932646751404,1.3520227639673976e-06,1.3520227639673976e-06,0.2,-1
16531.685,232.9,7.3,136386.0,179673.0,16738180.0,13.45,3.132765016289341e-07,0.0028965156525373,0.9811233282089232,3.132765016289341e-07,0.0010752457892522,0.0149043155834078,-0.1,1
16575.673000000003,233.456,7.2,136628.0,178855.0,16877493.0,17.01,2.75516782721752e-07,0.0078854989260435,0.9798121452331544,9.173357102554291e-05,0.0017309010727331,0.0104794269427657,-0.3,-1
16619.661,233.544,7.2,136815.0,178733.0,17016806.0,16.6,2.419496638594865e-07,0.0119325118139386,0.9386216402053832,0.0209918711334466,0.0015732508618384,0.0268805380910635,0.1,-1
16663.649,233.669,7.2,137040.0,179432.0,17156119.0,13.75,1.295258016398293e-06,0.0002565176982898,0.0018664808012545,0.9978731274604796,1.295258016398293e-06,1.295258016398293e-06,-0.2,1
16647.946,234.1,6.9,137304.0,179648.0,17304488.333333332,13.7,3.0288674679468386e-07,0.0021142188925296,0.9831826686859132,3.0288674679468386e-07,0.0019366268534213,0.0127658611163496,0.0,0
16632.243000000002,234.719,6.7,137373.0,180167.0,17452857.666666668,13.72,2.966613692478859e-07,0.0120152179151773,0.954168438911438,0.018045350909233,0.0020649011712521,0.0137058654800057,0.1,0
16616.54,235.288,6.6,137548.0,177877.0,17601227.0,18.41,1.6910662452573888e-06,1.6910662452573888e-06,1.6910662452573888e-06,0.9999915957450868,1.6910662452573888e-06,1.6910662452573888e-06,0.2,0
16691.518333333333,235.547,6.7,137714.0,180293.0,17611686.666666668,14.0,3.4732522635749774e-07,0.0021264879032969,0.9879248142242432,0.0033483207225799,0.0008281939080916,0.0057718618772923,-0.2,-1
16766.496666666666,236.028,6.7,137968.0,181815.0,17622146.333333332,13.88,1.932253780978499e-06,1.932253780978499e-06,0.0132663715630769,0.9863352179527284,1.932253780978499e-06,0.0003926248464267,0.4,0
16841.475,236.468,6.2,138293.0,183385.0,17632606.0,13.41,2.478908811553993e-07,0.0342689044773578,0.9324533939361572,0.0246912986040115,0.0007314096437767,0.0078547513112425,0.0,1
16910.016,236.918,6.3,138511.0,183334.0,17696427.666666668,11.4,2.2532515231432626e-07,0.0100507112219929,0.976616382598877,0.0085613764822483,0.0002959946286864,0.0044753481633961,0.0,0
16978.557,237.231,6.1,138837.0,183547.0,17760249.333333332,11.57,2.2331101945383125e-07,0.0068988283164799,0.9813241958618164,0.0044527831487357,0.0003756379592232,0.0069483262486755,0.0,0
17047.098,237.498,6.2,139069.0,183638.0,17824071.0,16.95,4.709874247055268e-06,4.709874247055268e-06,0.227717712521553,0.7722635269165039,4.709874247055268e-06,4.709874247055268e-06,-0.2,0
17079.078,237.46,6.1,139257.0,185147.0,17929862.0,11.98,2.69730008994884e-07,0.0047201551496982,0.937382161617279,0.0495057739317417,0.0008914688951335,0.0075002047233283,0.2,0
17111.058,237.477,5.9,139566.0,184737.0,18035653.0,16.31,2.542383867876197e-07,0.0089926086366176,0.9726477265357972,0.0042381579987704,0.0018376687075942,0.0122836036607623,0.0,0
17143.038,237.43,5.7,139818.0,185271.0,18141444.0,14.03,1.469689095756621e-06,1.469689095756621e-06,1.469689095756621e-06,0.9999926686286926,1.469689095756621e-06,1.469689095756621e-06,0.1,0
